Timestamp, Stream1, Stream2, Stream3, Stream4, Overall, Truth
[2016-07-05 20:02:00.510], False, False, False, False, False, False
[2016-07-05 20:02:00.657], False, False, False, False, False, False
[2016-07-05 20:02:00.767], False, False, False, False, False, False
[2016-07-05 20:02:00.877], False, False, False, False, False, False
[2016-07-05 20:02:01.024], False, False, False, False, False, False
[2016-07-05 20:02:01.135], False, False, False, False, False, False
[2016-07-05 20:02:01.245], False, False, False, False, False, False
[2016-07-05 20:02:01.392], False, False, False, False, False, False
[2016-07-05 20:02:01.502], False, False, False, False, False, False
[2016-07-05 20:02:01.612], False, False, False, False, False, False
[2016-07-05 20:02:01.759], False, False, False, False, False, False
[2016-07-05 20:02:01.870], False, False, False, False, False, False
[2016-07-05 20:02:01.980], False, False, False, False, False, False
[2016-07-05 20:02:02.127], False, False, False, False, False, False
[2016-07-05 20:02:02.237], False, False, False, False, False, False
[2016-07-05 20:02:02.347], False, False, False, False, False, False
[2016-07-05 20:02:02.494], False, False, False, False, False, False
[2016-07-05 20:02:02.605], False, False, False, False, False, False
[2016-07-05 20:02:02.715], False, False, False, False, False, False
[2016-07-05 20:02:02.862], False, False, False, False, False, False
[2016-07-05 20:02:02.972], False, False, False, False, False, False
[2016-07-05 20:02:03.082], False, False, False, False, False, False
[2016-07-05 20:02:03.229], False, False, False, False, False, False
[2016-07-05 20:02:03.340], False, False, False, False, False, False
[2016-07-05 20:02:03.450], False, False, False, False, False, False
[2016-07-05 20:02:03.597], False, False, False, False, False, False
[2016-07-05 20:02:03.707], False, False, False, False, False, False
[2016-07-05 20:02:03.817], False, False, False, False, False, False
[2016-07-05 20:02:03.964], False, False, False, False, False, False
[2016-07-05 20:02:04.075], False, False, False, False, False, False
[2016-07-05 20:02:04.185], False, False, False, False, False, False
[2016-07-05 20:02:04.332], False, False, False, False, False, False
[2016-07-05 20:02:04.442], False, False, False, False, False, False
[2016-07-05 20:02:04.552], False, False, False, False, False, False
[2016-07-05 20:02:04.700], False, False, False, False, False, False
[2016-07-05 20:02:04.810], False, False, False, False, False, False
[2016-07-05 20:02:04.920], False, False, False, False, False, False
[2016-07-05 20:02:05.067], False, False, False, False, False, False
[2016-07-05 20:02:05.177], False, False, False, False, False, False
[2016-07-05 20:02:05.287], False, False, False, False, False, False
[2016-07-05 20:02:05.434], False, False, False, False, False, False
[2016-07-05 20:02:05.545], False, False, False, False, False, False
[2016-07-05 20:02:05.655], False, False, False, False, False, False
[2016-07-05 20:02:05.802], False, False, False, False, False, False
[2016-07-05 20:02:05.912], False, False, False, False, False, False
[2016-07-05 20:02:06.022], False, False, False, False, False, False
[2016-07-05 20:02:06.169], False, False, False, False, False, False
[2016-07-05 20:02:06.280], False, False, False, False, False, False
[2016-07-05 20:02:06.390], False, False, False, False, False, False
[2016-07-05 20:02:06.537], False, False, False, False, False, False
[2016-07-05 20:02:06.661], False, False, False, False, False, True
[2016-07-05 20:02:06.757], False, False, False, False, False, True
[2016-07-05 20:02:06.904], False, False, False, False, False, True
[2016-07-05 20:02:07.015], False, False, False, False, False, True
[2016-07-05 20:02:07.125], False, False, False, False, False, True
[2016-07-05 20:02:07.272], False, False, False, False, False, True
[2016-07-05 20:02:07.382], False, False, False, False, False, True
[2016-07-05 20:02:07.492], False, False, False, False, False, True
[2016-07-05 20:02:07.639], False, False, False, False, False, True
[2016-07-05 20:02:07.750], False, False, False, False, False, True
[2016-07-05 20:02:07.860], False, False, False, False, False, True
[2016-07-05 20:02:08.007], False, False, False, False, False, True
[2016-07-05 20:02:08.117], False, False, False, False, False, True
[2016-07-05 20:02:08.227], False, False, False, False, False, True
[2016-07-05 20:02:08.374], False, False, False, True, True, True
[2016-07-05 20:02:08.485], False, False, False, True, True, True
[2016-07-05 20:02:08.595], False, False, False, True, True, True
[2016-07-05 20:02:08.742], False, False, False, True, True, True
[2016-07-05 20:02:08.852], False, False, False, True, True, True
[2016-07-05 20:02:08.962], False, False, False, True, True, True
[2016-07-05 20:02:09.109], False, False, False, True, True, True
[2016-07-05 20:02:09.220], False, False, False, True, True, True
[2016-07-05 20:02:09.330], False, False, False, True, True, True
[2016-07-05 20:02:09.477], False, False, False, True, True, True
[2016-07-05 20:02:09.587], False, False, False, True, True, True
[2016-07-05 20:02:09.698], False, False, False, True, True, True
[2016-07-05 20:02:09.845], False, False, False, True, True, True
[2016-07-05 20:02:09.955], True, False, False, True, True, True
[2016-07-05 20:02:10.065], True, False, False, True, True, True
[2016-07-05 20:02:10.212], True, False, False, True, True, True
[2016-07-05 20:02:10.322], True, False, False, True, True, True
[2016-07-05 20:02:10.432], True, False, False, True, True, True
[2016-07-05 20:02:10.579], True, False, False, True, True, True
[2016-07-05 20:02:10.690], True, False, False, True, True, True
[2016-07-05 20:02:10.800], True, False, False, True, True, True
[2016-07-05 20:02:10.947], True, False, False, True, True, True
[2016-07-05 20:02:11.057], True, False, False, True, True, True
[2016-07-05 20:02:11.167], True, False, False, True, True, True
[2016-07-05 20:02:11.314], True, False, False, True, True, True
[2016-07-05 20:02:11.425], True, False, False, True, True, True
[2016-07-05 20:02:11.535], True, False, False, True, True, True
[2016-07-05 20:02:11.682], True, False, False, True, True, True
[2016-07-05 20:02:11.792], True, False, False, True, True, True
[2016-07-05 20:02:11.902], True, False, False, True, True, True
[2016-07-05 20:02:12.049], True, False, False, True, True, True
[2016-07-05 20:02:12.160], True, False, False, True, True, True
[2016-07-05 20:02:12.270], True, False, False, True, True, True
[2016-07-05 20:02:12.417], True, False, False, True, True, True
[2016-07-05 20:02:12.527], True, False, False, True, True, True
[2016-07-05 20:02:12.637], True, False, False, True, True, True
[2016-07-05 20:02:12.784], True, False, False, True, True, True
[2016-07-05 20:02:12.895], False, False, False, True, True, True
[2016-07-05 20:02:13.005], False, False, False, True, True, True
[2016-07-05 20:02:13.151], False, True, False, True, True, True
[2016-07-05 20:02:13.262], False, True, False, True, True, True
[2016-07-05 20:02:13.372], False, True, False, True, True, True
[2016-07-05 20:02:13.519], False, True, False, True, True, True
[2016-07-05 20:02:13.630], False, True, False, True, True, True
[2016-07-05 20:02:13.740], False, True, False, True, True, True
[2016-07-05 20:02:13.887], False, True, False, True, True, True
[2016-07-05 20:02:13.997], False, True, False, True, True, True
[2016-07-05 20:02:14.107], False, True, False, True, True, True
[2016-07-05 20:02:14.254], False, True, False, True, True, True
[2016-07-05 20:02:14.365], False, True, False, True, True, True
[2016-07-05 20:02:14.475], False, True, False, True, True, True
[2016-07-05 20:02:14.622], False, True, False, True, True, True
[2016-07-05 20:02:14.732], False, True, False, True, True, True
[2016-07-05 20:02:14.842], False, True, False, True, True, True
[2016-07-05 20:02:14.989], False, True, False, True, True, True
[2016-07-05 20:02:15.100], False, True, False, True, True, True
[2016-07-05 20:02:15.210], False, True, False, True, True, True
[2016-07-05 20:02:15.357], False, True, False, True, True, True
[2016-07-05 20:02:15.467], False, True, False, True, True, True
[2016-07-05 20:02:15.577], False, True, False, True, True, True
[2016-07-05 20:02:15.724], False, True, False, False, True, True
[2016-07-05 20:02:15.835], False, True, False, False, True, True
[2016-07-05 20:02:15.945], False, True, False, False, True, True
[2016-07-05 20:02:16.092], False, False, False, False, True, True
[2016-07-05 20:02:16.202], False, False, False, False, True, True
[2016-07-05 20:02:16.312], False, False, False, False, True, True
[2016-07-05 20:02:16.459], False, True, False, False, True, True
[2016-07-05 20:02:16.570], False, True, False, False, True, True
[2016-07-05 20:02:16.680], False, True, False, False, True, True
[2016-07-05 20:02:16.827], False, True, False, True, True, True
[2016-07-05 20:02:16.937], False, True, False, True, True, True
[2016-07-05 20:02:17.047], False, True, False, True, True, True
[2016-07-05 20:02:17.194], False, True, False, True, True, True
[2016-07-05 20:02:17.305], False, True, False, True, True, True
[2016-07-05 20:02:17.415], False, True, False, True, True, True
[2016-07-05 20:02:17.562], False, True, False, True, True, True
[2016-07-05 20:02:17.672], False, True, False, True, True, True
[2016-07-05 20:02:17.782], False, True, False, True, True, True
[2016-07-05 20:02:17.929], False, True, False, True, True, True
[2016-07-05 20:02:18.040], False, True, False, True, True, True
[2016-07-05 20:02:18.150], False, True, False, True, True, True
[2016-07-05 20:02:18.297], False, True, False, True, True, True
[2016-07-05 20:02:18.407], False, True, False, True, True, True
[2016-07-05 20:02:18.517], False, False, False, True, True, True
[2016-07-05 20:02:18.664], False, False, False, True, True, True
[2016-07-05 20:02:18.775], False, False, False, True, True, True
[2016-07-05 20:02:18.885], False, False, False, True, True, True
[2016-07-05 20:02:19.032], False, False, False, True, True, True
[2016-07-05 20:02:19.142], False, False, False, True, True, True
[2016-07-05 20:02:19.252], False, False, False, True, True, True
[2016-07-05 20:02:19.399], False, False, False, True, True, True
[2016-07-05 20:02:19.510], False, False, False, True, True, True
[2016-07-05 20:02:19.620], False, False, False, True, True, True
[2016-07-05 20:02:19.767], False, True, False, False, True, True
[2016-07-05 20:02:19.877], False, True, False, False, True, True
[2016-07-05 20:02:19.987], False, True, False, False, True, True
[2016-07-05 20:02:20.134], False, True, False, False, True, True
[2016-07-05 20:02:20.245], False, True, False, False, True, True
[2016-07-05 20:02:20.354], False, True, False, False, True, True
[2016-07-05 20:02:20.502], False, True, False, False, True, True
[2016-07-05 20:02:20.612], False, False, False, False, True, True
[2016-07-05 20:02:20.722], False, False, False, False, True, True
[2016-07-05 20:02:20.869], False, False, False, False, True, True
[2016-07-05 20:02:20.980], False, False, False, False, True, True
[2016-07-05 20:02:21.090], False, False, False, False, True, True
[2016-07-05 20:02:21.237], False, False, False, False, True, True
[2016-07-05 20:02:21.347], False, False, False, False, True, True
[2016-07-05 20:02:21.457], False, False, False, False, True, True
[2016-07-05 20:02:21.604], False, False, False, False, True, True
[2016-07-05 20:02:21.715], False, False, False, False, True, True
[2016-07-05 20:02:21.825], False, False, False, False, True, True
[2016-07-05 20:02:21.972], False, True, False, False, True, True
[2016-07-05 20:02:22.082], False, True, False, False, True, True
[2016-07-05 20:02:22.192], False, True, False, False, True, True
[2016-07-05 20:02:22.339], False, True, False, False, True, True
[2016-07-05 20:02:22.450], False, True, False, False, True, True
[2016-07-05 20:02:22.560], False, True, False, False, True, True
[2016-07-05 20:02:22.707], False, True, False, False, True, True
[2016-07-05 20:02:22.817], False, True, False, False, True, True
[2016-07-05 20:02:22.927], False, True, False, False, True, True
[2016-07-05 20:02:23.074], False, True, False, False, True, True
[2016-07-05 20:02:23.185], False, True, False, False, True, True
[2016-07-05 20:02:23.295], False, True, False, False, True, True
[2016-07-05 20:02:23.442], False, True, False, False, True, True
[2016-07-05 20:02:23.552], False, True, False, False, True, True
[2016-07-05 20:02:23.662], False, True, False, False, True, True
[2016-07-05 20:02:23.809], False, True, False, False, True, True
[2016-07-05 20:02:23.920], False, True, False, False, True, True
[2016-07-05 20:02:24.030], False, True, False, False, True, True
[2016-07-05 20:02:24.177], False, True, False, False, True, True
[2016-07-05 20:02:24.287], False, True, False, False, True, True
[2016-07-05 20:02:24.397], False, True, False, False, True, True
[2016-07-05 20:02:24.544], False, True, False, False, True, True
[2016-07-05 20:02:24.655], False, True, False, False, True, True
[2016-07-05 20:02:24.765], False, True, False, False, True, True
[2016-07-05 20:02:24.912], False, True, False, False, True, True
[2016-07-05 20:02:25.022], False, True, False, False, True, True
[2016-07-05 20:02:25.132], False, True, False, False, True, True
[2016-07-05 20:02:25.279], False, True, False, False, True, True
[2016-07-05 20:02:25.390], False, True, False, False, True, True
[2016-07-05 20:02:25.500], False, True, False, False, True, True
[2016-07-05 20:02:25.647], False, True, False, False, True, True
[2016-07-05 20:02:25.757], False, True, False, False, True, True
[2016-07-05 20:02:25.867], False, True, False, False, True, True
[2016-07-05 20:02:26.014], False, True, False, False, True, True
[2016-07-05 20:02:26.128], False, True, False, False, True, True
[2016-07-05 20:02:26.236], False, True, False, False, True, True
[2016-07-05 20:02:26.392], False, True, False, False, True, True
[2016-07-05 20:02:26.494], False, True, False, False, True, True
[2016-07-05 20:02:26.605], False, True, False, False, True, True
[2016-07-05 20:02:26.753], False, True, False, False, True, True
[2016-07-05 20:02:26.860], False, True, False, False, True, True
[2016-07-05 20:02:26.970], False, True, False, False, True, True
[2016-07-05 20:02:27.117], False, True, False, False, True, True
[2016-07-05 20:02:27.227], False, True, False, False, True, True
[2016-07-05 20:02:27.337], False, True, False, False, True, True
[2016-07-05 20:02:27.484], False, True, False, False, True, True
[2016-07-05 20:02:27.595], False, True, False, False, True, True
[2016-07-05 20:02:27.705], False, True, False, False, True, True
[2016-07-05 20:02:27.851], False, True, False, False, True, True
[2016-07-05 20:02:27.962], False, True, False, False, True, True
[2016-07-05 20:02:28.072], False, True, False, False, True, True
[2016-07-05 20:02:28.219], False, True, False, False, True, True
[2016-07-05 20:02:28.330], False, True, False, False, True, True
[2016-07-05 20:02:28.440], False, True, False, False, True, True
[2016-07-05 20:02:28.587], False, True, False, False, True, True
[2016-07-05 20:02:28.697], False, True, False, False, True, True
[2016-07-05 20:02:28.807], False, True, False, False, True, True
[2016-07-05 20:02:28.954], False, True, False, False, True, True
[2016-07-05 20:02:29.065], False, True, False, False, True, True
[2016-07-05 20:02:29.175], False, True, False, False, True, True
[2016-07-05 20:02:29.322], False, True, False, False, True, True
[2016-07-05 20:02:29.432], False, True, False, False, True, True
[2016-07-05 20:02:29.542], False, True, False, False, True, True
[2016-07-05 20:02:29.689], False, True, False, False, True, True
[2016-07-05 20:02:29.800], False, True, False, False, True, True
[2016-07-05 20:02:29.910], False, True, False, False, True, True
[2016-07-05 20:02:30.057], False, True, False, False, True, True
[2016-07-05 20:02:30.167], False, True, False, False, True, True
[2016-07-05 20:02:30.277], False, True, False, False, True, True
